id;tel;full_name;avatar;provided_objects;rented_objects
1;92469;SMS Enhanced;Bacon Designer;51663;52965
2;26082;Executive;Customer Human deposit;33902;27887
3;34920;bus Internal AI;THX bypassing Marketing;78534;89855
4;66898;Alabama transform;invoice Home Gloves;54873;48561
5;69189;invoice Devolved;Computers Bedfordshire Fish;36646;64963
6;74417;alarm local area network Benin;turn-key dedicated;24398;58987
7;97301;target Human withdrawal;dot-com payment Libyan Dinar;86416;19524
8;23018;Bedfordshire Alaska calculate;Chips;94045;46994
9;95392;Human;back up Factors;33075;42818
10;55276;Wisconsin Facilitator Incredible;reinvent;85113;26847
